zip,primary_city,state,area_codes,country
80747,Peetz,CO,970,US
80749,Sedgwick,CO,970,US
80750,Snyder,CO,970,US
80751,Sterling,CO,970,US
80754,Stoneham,CO,970,US
80755,Vernon,CO,970,US
80757,Woodrow,CO,970,US
80758,Wray,CO,970,US
80759,Yuma,CO,970,US
80801,Anton,CO,970,US
80802,Arapahoe,CO,719,US
80804,Arriba,CO,719,US
80805,Bethune,CO,719,US
80807,Burlington,CO,"7,19,970",US
80808,Calhan,CO,719,US
80809,Cascade,CO,719,US
80810,Cheyenne Wells,CO,719,US
80812,Cope,CO,970,US
80813,Cripple Creek,CO,719,US
80814,Divide,CO,719,US
80815,Flagler,CO,"7,19,970",US
80816,Florissant,CO,719,US
80817,Fountain,CO,719,US
80818,Genoa,CO,719,US
80819,Green Mountain Falls,CO,719,US
80820,Guffey,CO,719,US
80821,Hugo,CO,719,US
80822,Joes,CO,970,US
80823,Karval,CO,719,US
80824,Kirk,CO,970,US
80825,Kit Carson,CO,719,US
80826,Limon,CO,719,US
80827,Lake George,CO,719,US
80828,Limon,CO,719,US
80829,Manitou Springs,CO,719,US
80830,Matheson,CO,719,US
80831,Peyton,CO,719,US
80832,Ramah,CO,719,US
80833,Rush,CO,719,US
80834,Seibert,CO,970,US
80835,Simla,CO,719,US
80836,Stratton,CO,"7,19,970",US
80840,U S A F Academy,CO,719,US
80841,U S A F Academy,CO,719,US
80860,Victor,CO,719,US
80861,Vona,CO,970,US
80862,Wild Horse,CO,719,US
80863,Woodland Park,CO,"7,19,303",US
80864,Yoder,CO,719,US
80866,Woodland Park,CO,719,US
80901,Colorado Springs,CO,719,US
80902,Colorado Springs,CO,719,US
80903,Colorado Springs,CO,719,US
80904,Colorado Springs,CO,719,US
80905,Colorado Springs,CO,719,US
80906,Colorado Springs,CO,719,US
80907,Colorado Springs,CO,719,US
80908,Colorado Springs,CO,719,US
80909,Colorado Springs,CO,719,US
80910,Colorado Springs,CO,719,US
80911,Colorado Springs,CO,719,US
80912,Colorado Springs,CO,719,US
80913,Colorado Springs,CO,719,US
80914,Colorado Springs,CO,719,US
80915,Colorado Springs,CO,719,US
80916,Colorado Springs,CO,719,US
80917,Colorado Springs,CO,719,US
80918,Colorado Springs,CO,719,US
80919,Colorado Springs,CO,719,US
80920,Colorado Springs,CO,719,US
80921,Colorado Springs,CO,"7,19,720",US
80922,Colorado Springs,CO,719,US
80923,Colorado Springs,CO,719,US
80924,Colorado Springs,CO,719,US
80925,Colorado Springs,CO,719,US
80926,Colorado Springs,CO,719,US
80927,Colorado Springs,CO,719,US
80928,Colorado Springs,CO,719,US
80929,Colorado Springs,CO,719,US
80930,Colorado Springs,CO,719,US
80931,Colorado Springs,CO,719,US
80932,Colorado Springs,CO,719,US
80933,Colorado Springs,CO,719,US
80934,Colorado Springs,CO,719,US
80935,Colorado Springs,CO,719,US
80936,Colorado Springs,CO,719,US
80937,Colorado Springs,CO,719,US
80938,Colorado Springs,CO,719,US
80939,Colorado Springs,CO,719,US
80940,Colorado Springs,CO,719,US
80941,Colorado Springs,CO,719,US
80942,Colorado Springs,CO,719,US
80943,Colorado Springs,CO,719,US
80944,Colorado Springs,CO,719,US
80945,Colorado Springs,CO,719,US
80946,Colorado Springs,CO,719,US
80947,Colorado Springs,CO,719,US
80949,Colorado Springs,CO,719,US
80950,Colorado Springs,CO,719,US
80951,Colorado Springs,CO,719,US
80960,Colorado Springs,CO,719,US
80962,Colorado Springs,CO,719,US
80970,Colorado Springs,CO,719,US
80977,Colorado Springs,CO,719,US
80995,Colorado Springs,CO,719,US
80997,Colorado Springs,CO,719,US
81001,Pueblo,CO,719,US
81002,Pueblo,CO,719,US
81003,Pueblo,CO,719,US
81004,Pueblo,CO,719,US
81005,Pueblo,CO,719,US
81006,Pueblo,CO,719,US
81007,Pueblo,CO,719,US
81008,Pueblo,CO,719,US
81009,Pueblo,CO,719,US
81010,Pueblo,CO,719,US
81011,Pueblo,CO,719,US
